"subject"	"activity"	"axial"	"stats"	"tBodyAcc"	"tGravityAcc"	"tBodyGyro"
3	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.292423484693878	0.939057787755102	-0.13157327645102
4	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.279965329555556	0.947731858666667	-0.102838822533333
5	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.29354392712766	0.956649352553192	-0.068294569906383
6	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.277045258145833	0.928531455208333	-0.0960837437708333
7	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.28030708	0.930623632765957	-0.105409612961702
8	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.283484089210526	0.914023498421053	-0.121189625973684
9	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.295923445	0.938417773333333	-0.0916383011071429
10	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.290401594315789	0.939807421052632	-0.124839594289474
11	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.291605631956522	0.941746406521739	-0.12506869905
12	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.281521097391304	0.949861980652174	-0.112531564434783
13	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.294907553404255	0.941875619787234	-0.122672201757447
14	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.293422115555556	0.81629643	-0.0147079653333333
15	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.280198851190476	0.932302200476191	-0.136618653071429
16	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.295586802191489	0.917818427021277	-0.0225373369978723
17	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.29391828326087	0.928817578043478	0.0677728390673913
18	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.288439468909091	0.932277478363636	-0.0576548655654545
19	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.262688053871795	0.881940855128205	-0.205775427307692
20	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.296144421355556	0.91972663	-0.111367747557778
21	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.3014610196	0.872683205555556	-0.126388023595556
22	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.284458963861111	0.921820641944444	-0.0779611213138889
23	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.289897411148148	0.923711401296296	-0.0578230190203704
24	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.288631208909091	0.950883416727273	-0.0867069010690909
25	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.291329666206897	0.929627532241379	0.00299112856551724
26	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.2792845828	0.9467972718	-0.010752208236
27	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.2975441875	0.931380178636364	-0.159826551905227
28	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.293642076521739	0.929291680434783	-0.141096309502174
29	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.293140441083333	0.948486215	-0.0374126070957292
30	"WALKING_DOWNSTAIRS"	"X"	"mean"	0.283190646967742	0.958000491451613	-0.0745591301759677
1	"SITTING"	"X"	"mean"	0.261237565425532	0.831509933404255	-0.045350056512766
2	"SITTING"	"X"	"mean"	0.27708735173913	0.940477273043478	-0.0454706620434783
3	"SITTING"	"X"	"mean"	0.257197599134615	0.901098984615385	-0.0385365204807692
4	"SITTING"	"X"	"mean"	0.27153827992	0.8693030064	-0.04944351156
5	"SITTING"	"X"	"mean"	0.273694139545455	0.880731443863636	-0.0422355209795455
6	"SITTING"	"X"	"mean"	0.276778487454545	0.933692934909091	-0.0372442282830909
7	"SITTING"	"X"	"mean"	0.284674637291667	0.969147824375	-0.04963797197125
8	"SITTING"	"X"	"mean"	0.267491472934783	0.832453878043478	-0.0547396987173913
9	"SITTING"	"X"	"mean"	0.24832674354	0.9163245106	-0.042328876778
10	"SITTING"	"X"	"mean"	0.270612056481481	0.791887198148148	-0.0432432176851852
11	"SITTING"	"X"	"mean"	0.276590197358491	0.871963798301887	-0.0399984915849057
12	"SITTING"	"X"	"mean"	0.275007224901961	0.926228975490196	-0.0424159182941176
13	"SITTING"	"X"	"mean"	0.274328499591837	0.92557651244898	-0.0355124856836735
14	"SITTING"	"X"	"mean"	0.279990577037037	0.939038759814815	-0.0440403326851852
15	"SITTING"	"X"	"mean"	0.27290337979661	0.89036426220339	-0.0377111130338983
16	"SITTING"	"X"	"mean"	0.280768574492754	0.942457377971014	-0.0412014042275362
17	"SITTING"	"X"	"mean"	0.2773570196875	0.94488374765625	-0.042549159015625
18	"SITTING"	"X"	"mean"	0.27727001877193	0.909816469298246	-0.0333057034385965
19	"SITTING"	"X"	"mean"	0.273830316164384	0.581371509041096	-0.0214151280054795
20	"SITTING"	"X"	"mean"	0.278045439090909	0.924454522424242	-0.036405928969697
21	"SITTING"	"X"	"mean"	0.277539616823529	0.940031368	-0.0198712820612471
22	"SITTING"	"X"	"mean"	0.273583822709677	0.839305928709677	-0.0360430675032258
23	"SITTING"	"X"	"mean"	0.273351251617647	0.936509242941176	-0.0472583464367647
24	"SITTING"	"X"	"mean"	0.273475690147059	0.919637604411765	-0.0356229619955882
25	"SITTING"	"X"	"mean"	0.278541482461538	0.865686078153846	-0.0352052091230769
26	"SITTING"	"X"	"mean"	0.258243530166667	0.782955611794872	-0.0370217449628205
27	"SITTING"	"X"	"mean"	0.273941302571429	0.839464714	-0.0371830822285714
28	"SITTING"	"X"	"mean"	0.276977629444444	0.907331309166667	-0.0339018030166667
29	"SITTING"	"X"	"mean"	0.2771799775	0.891563755166667	-0.0379271112333333
30	"SITTING"	"X"	"mean"	0.268336081379032	0.825473836935484	-0.0358426482048387
1	"STANDING"	"X"	"mean"	0.278917629056604	0.942952000377358	-0.0239877347979245
2	"STANDING"	"X"	"mean"	0.277911472222222	0.896928566851852	-0.0238623875712963
3	"STANDING"	"X"	"mean"	0.280046513278689	0.93503077852459	-0.0246626070770492
4	"STANDING"	"X"	"mean"	0.280499745892857	0.95619779125	-0.0306449342357143
5	"STANDING"	"X"	"mean"	0.282544390892857	0.960188699107143	-0.0322711902673214
6	"STANDING"	"X"	"mean"	0.280346248596491	0.945139003859649	-0.028251913022807
7	"STANDING"	"X"	"mean"	0.282723539433962	0.958728687924528	-0.0291582212545283
8	"STANDING"	"X"	"mean"	0.279620986111111	0.957669921111111	-0.0219671978203704
9	"STANDING"	"X"	"mean"	0.282310057333333	0.961323502222222	-0.029183136346
10	"STANDING"	"X"	"mean"	0.276650300681818	0.954008785454545	-0.0281854325604545
11	"STANDING"	"X"	"mean"	0.277715562765957	0.956464535957447	-0.0293141521489362
12	"STANDING"	"X"	"mean"	0.277405834918033	0.957317821803279	-0.0300030427426229
13	"STANDING"	"X"	"mean"	0.277758431052632	0.942695296842105	-0.0295492164431579
14	"STANDING"	"X"	"mean"	0.280545613833333	0.875319569	-0.0220886526891667
15	"STANDING"	"X"	"mean"	0.278915803962264	0.965528899622642	-0.0262433562254717
16	"STANDING"	"X"	"mean"	0.283497402948718	0.941587749358974	-0.0299337294166667
17	"STANDING"	"X"	"mean"	0.277942503333333	0.904678547435897	-0.0269576937130769
18	"STANDING"	"X"	"mean"	0.278458805890411	0.947573239863014	-0.0265873248835616
19	"STANDING"	"X"	"mean"	0.27817226	0.944045837534247	-0.025090574020274
20	"STANDING"	"X"	"mean"	0.278076904657534	0.911231752465753	-0.0241335049573973
21	"STANDING"	"X"	"mean"	0.27695224258427	0.881213341910112	-0.0191731896359551
22	"STANDING"	"X"	"mean"	0.279053861587302	0.954064297619048	-0.0275201762126984
23	"STANDING"	"X"	"mean"	0.277899323235294	0.919857125882353	-0.0327397745133823
24	"STANDING"	"X"	"mean"	0.280348883913043	0.96644228	-0.0278611511434783
25	"STANDING"	"X"	"mean"	0.278013701621622	0.929794733108108	-0.0247946750959459
26	"STANDING"	"X"	"mean"	0.281127035405405	0.965460891621622	-0.0245345837959459
27	"STANDING"	"X"	"mean"	0.279566921625	0.965351492	-0.026731653905
28	"STANDING"	"X"	"mean"	0.277795069113924	0.948514848481013	-0.0253281543540506
29	"STANDING"	"X"	"mean"	0.277965065846154	0.974508732	-0.0276075573307692
30	"STANDING"	"X"	"mean"	0.277112699152542	0.968556705084746	-0.027613853538983
1	"LAYING"	"X"	"mean"	0.22159824394	-0.24888179828	-0.016553093978
2	"LAYING"	"X"	"mean"	0.281373403958333	-0.509754238125	-0.01847660675
3	"LAYING"	"X"	"mean"	0.275516852741935	-0.241758478064516	-0.0208170540330645
4	"LAYING"	"X"	"mean"	0.263559214981481	-0.420664662222222	-0.00923156347222222
5	"LAYING"	"X"	"mean"	0.278334325576923	-0.483470597692308	-0.0218935013501923
6	"LAYING"	"X"	"mean"	0.248656520140351	-0.47670987877193	-0.0079605026754386
7	"LAYING"	"X"	"mean"	0.250176694038462	-0.502814250576923	-0.00282641913096154
8	"LAYING"	"X"	"mean"	0.261254282907407	-0.405930036111111	0.00535361206851852
9	"LAYING"	"X"	"mean"	0.2591955368	-0.5802528348	-0.013632036148
10	"LAYING"	"X"	"mean"	0.280230574137931	-0.453069737586207	-0.019555937162069
11	"LAYING"	"X"	"mean"	0.280592970877193	-0.134832031403509	-0.0191743840136842
12	"LAYING"	"X"	"mean"	0.260113433	-0.3785920653	-0.0146546807316667
13	"LAYING"	"X"	"mean"	0.276716360483871	-0.156852206467742	-0.00973609968045161
14	"LAYING"	"X"	"mean"	0.233275439803922	-0.145483631627451	0.00505221181607843
15	"LAYING"	"X"	"mean"	0.2894756525	-0.1719930545	-0.0168300887791667
16	"LAYING"	"X"	"mean"	0.274227162571429	-0.206783742242857	-0.0161545406857143
17	"LAYING"	"X"	"mean"	0.269780085577465	-0.19913309	-0.0234756467113239
18	"LAYING"	"X"	"mean"	0.274691576923077	-0.220600509076923	-0.02517618068
19	"LAYING"	"X"	"mean"	0.272653733493976	-0.680043155060241	-0.0312072730559566
20	"LAYING"	"X"	"mean"	0.239507882205882	-0.472431415573529	-0.0231760616308824
21	"LAYING"	"X"	"mean"	0.271325472455556	-0.174349174822222	-0.0305126188777778
22	"LAYING"	"X"	"mean"	0.279959721194444	-0.418494577083333	-0.0208311371125
23	"LAYING"	"X"	"mean"	0.274038007986111	-0.391564962777778	-0.0113399724663889
24	"LAYING"	"X"	"mean"	0.272850494930556	-0.359292534027778	-0.0143679929444444
25	"LAYING"	"X"	"mean"	0.250791828613699	-0.461102531369863	0.00372723459589041
26	"LAYING"	"X"	"mean"	0.271645864540789	-0.621309715263158	-0.0170656239526316
27	"LAYING"	"X"	"mean"	0.274102492432432	-0.530434604864865	-0.0195427328781081
28	"LAYING"	"X"	"mean"	0.2759134825	-0.490334541875	-0.017367705735
29	"LAYING"	"X"	"mean"	0.287295196811594	-0.346789842753623	-0.0258281004782609
30	"LAYING"	"X"	"mean"	0.281033900571429	-0.344737755285714	-0.0267812218571429
1	"WALKING"	"Y"	"mean"	-0.0173838185273684	-0.282165021263158	-0.0695300462115789
2	"WALKING"	"Y"	"mean"	-0.0185949199145763	-0.34660709	-0.0482382316949153
3	"WALKING"	"Y"	"mean"	-0.0171767844203448	-0.261986357931034	-0.0779150937413793
4	"WALKING"	"Y"	"mean"	-0.0148399475341667	-0.0858540265666667	-0.0726905278583333
5	"WALKING"	"Y"	"mean"	-0.0172850317482679	-0.100440285303571	-0.0690135249642857
6	"WALKING"	"Y"	"mean"	-0.0168954189082456	-0.214694852280702	-0.0744462466
7	"WALKING"	"Y"	"mean"	-0.018653665345614	-0.159097003684211	-0.0837113724842105
8	"WALKING"	"Y"	"mean"	-0.0186628865310417	-0.217102194583333	-0.095791790535
9	"WALKING"	"Y"	"mean"	-0.0180891971284423	-0.0314341738730769	-0.0625598710615385
10	"WALKING"	"Y"	"mean"	-0.017022351190566	-0.0838277013962264	-0.0819540783760943
11	"WALKING"	"Y"	"mean"	-0.0166475833623729	-0.212045870169492	-0.0705104974254237
12	"WALKING"	"Y"	"mean"	-0.015560927606	-0.1559834498	-0.03442910782
13	"WALKING"	"Y"	"mean"	-0.0185660651947368	-0.283658580877193	-0.0798472502663158
14	"WALKING"	"Y"	"mean"	-0.0217785380966102	-0.270314822881356	-0.0829682847966102
15	"WALKING"	"Y"	"mean"	-0.0170809740090741	-0.233918282592593	-0.06124278833
16	"WALKING"	"Y"	"mean"	-0.0204286929452941	-0.0668246472745098	-0.0695955689607843
17	"WALKING"	"Y"	"mean"	-0.0184875403339344	-0.179927382704918	-0.0839773343770492
18	"WALKING"	"Y"	"mean"	-0.0178023631866071	-0.254317085892857	-0.0613727362975
19	"WALKING"	"Y"	"mean"	-0.0191773587903846	-0.2233381	-0.0751569333730769
20	"WALKING"	"Y"	"mean"	-0.021199992245098	-0.344443913137255	-0.074105054612549
21	"WALKING"	"Y"	"mean"	-0.0181610317526923	-0.370984549423077	-0.0590294439942308
22	"WALKING"	"Y"	"mean"	-0.0167213607957174	-0.259644937173913	-0.0960880731804348
23	"WALKING"	"Y"	"mean"	-0.0183618711932203	-0.16176137	-0.0640197920966102
24	"WALKING"	"Y"	"mean"	-0.0225446400534483	-0.115116241810345	-0.0658435879913793
25	"WALKING"	"Y"	"mean"	-0.0186477624716216	-0.127315870743243	-0.0820768065347297
26	"WALKING"	"Y"	"mean"	-0.0154259586949153	-0.133922185084746	-0.0841507651508475
27	"WALKING"	"Y"	"mean"	-0.0166478783221912	-0.187497034561404	-0.0365348163649123
28	"WALKING"	"Y"	"mean"	-0.0156759722981481	-0.229316151481481	-0.0172822168012963
29	"WALKING"	"Y"	"mean"	-0.0162915600588679	-0.127318078679245	-0.081960153154717
30	"WALKING"	"Y"	"mean"	-0.0175880385730769	-0.157673823846154	-0.0649170927338462
1	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0239531492643396	-0.362153364339623	-0.166170015088679
2	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0214121132045833	-0.416214890416667	-0.0320883097395833
3	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0324109410555932	-0.382851153728814	-0.139275405637288
4	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0319804295729615	-0.232944304615385	-0.0859471683596154
5	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0325269755153191	-0.265942569148936	-0.117195551802128
6	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0272425385070588	-0.340732608823529	-0.0518981989072549
7	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0275639005607843	-0.240950944117647	-0.00247161973
8	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0282415136341463	-0.291341491707317	-0.204205356087805
9	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0195101099975714	-0.0377947824285714	-0.0412587909579592
10	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0143854920340426	-0.0565670278723404	-0.0954600216446809
11	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0303157822055556	-0.343576924814815	-0.0566928808703704
12	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0263574903403846	-0.259144202692308	-0.0411314519307692
13	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0277392253910909	-0.357404501636364	0.00381966911090909
14	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0204388180024074	-0.322680364814815	-0.123499570044444
15	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0287523860708333	-0.3149610125	-0.154721289270833
16	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0143654945011765	-0.0805926025490196	-0.0486136789705882
17	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0228645614308333	-0.284153753333333	-0.0548455941370417
18	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0222060684378914	-0.316619946206897	-0.0526133819862069
19	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0303986615775	-0.3871007085	-0.134514320575
20	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0282258047588235	-0.479894842941176	-0.174650964745098
21	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0237218695148936	-0.432309617446809	-0.155622431382979
22	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0268622561133333	-0.33682691	-0.181458414495238
23	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0323844029237255	-0.214481808235294	-0.111564389137255
24	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0251979434569492	-0.237498409152542	-0.105932947294915
25	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0269863524264615	-0.217641282461538	-0.109437658104615
26	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0281633797398182	-0.246169656181818	-0.0657601804418182
27	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0200953324078431	-0.229278659607843	0.00212499391686275
28	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0279443943478431	-0.333223996666667	0.0212250958019608
29	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0299465312326531	-0.227120125306122	-0.152328112210204
30	"WALKING_UPSTAIRS"	"Y"	"mean"	-0.0253311698786154	-0.226647292153846	-0.0779606464676923
1	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.00991850461020408	-0.266610338979592	-0.0909371290204082
2	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0226614158361702	-0.325780100638298	-0.00482329231914894
3	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0193554079328571	-0.228829214285714	-0.0139358043959184
4	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.00980200850666667	-0.0620852772955556	-0.0704025952333333
5	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.00850107533191489	-0.0607578318319149	-0.0707805998787234
6	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.019536840063125	-0.214046334375	-0.0341782208604167
7	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0166332372978723	-0.12987167306383	-0.049717460606383
8	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0211058674973684	-0.187610243421053	-0.0500760173342105
9	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0203994269075476	-0.0352304645104762	-0.0712598843142857
10	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0200050770710526	-0.0646160768947368	-0.106742538831579
11	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0178097721219565	-0.200321942608696	-0.0262775345369565
12	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.018084266865793	-0.178702175434783	-0.0427336692521739
13	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0143723839108511	-0.211555112553191	-0.0237205719148936
14	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0200141413657778	-0.264254674666667	-0.0945288409066667
15	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.00563047804309524	-0.167462317142857	-0.0346755727619048
16	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0183898583787234	-0.0584832676382979	-0.068264792706383
17	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0167359404347826	-0.151077057652174	-0.123517195928261
18	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0168666920221818	-0.225809125454545	-0.0636214336761818
19	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0145942275069487	-0.215018042307692	0.0274707556666667
20	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.00964120773155556	-0.277419718666667	0.0139023395111111
21	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0173195390157778	-0.356673289555556	0.0162145300888889
22	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0197999371686389	-0.222215179444444	-0.0697154455833333
23	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0162111457238889	-0.110028841648148	-0.0853077464277778
24	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0145730348310909	-0.128326710927273	-0.0542300245127273
25	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0210170522987931	-0.0724270175862069	-0.101115076366897
26	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.01262580966778	-0.0799003729	-0.1003822042168
27	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0135564467159091	-0.166938774772727	-0.0163131590545455
28	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0220230465913043	-0.235897105217391	0.00710564286763044
29	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.01494121505625	-0.0760962952291667	-0.0851045889895833
30	"WALKING_DOWNSTAIRS"	"Y"	"mean"	-0.0174383900204839	-0.126710371903226	-0.0693112411951613
1	"SITTING"	"Y"	"mean"	-0.00130828765170213	0.204411592680851	-0.0919241549361702
2	"SITTING"	"Y"	"mean"	-0.0156879937282609	-0.105630024498783	-0.0599286797043478
3	"SITTING"	"Y"	"mean"	-0.00350299841730769	0.127303379245962	-0.07524100275
4	"SITTING"	"Y"	"mean"	-0.007163065158	0.211622539936894	-0.08943006108
5	"SITTING"	"Y"	"mean"	-0.00990083527045455	0.168445524	-0.0835484079545455
6	"SITTING"	"Y"	"mean"	-0.0145911615290909	0.0682628663363636	-0.0899083302550909
7	"SITTING"	"Y"	"mean"	-0.01461097580375	0.00608846646041667	-0.03361196465625
8	"SITTING"	"Y"	"mean"	-0.00672550621304348	0.240095117065217	-0.0955089236521739
9	"SITTING"	"Y"	"mean"	-0.02701677698	-0.0414258228938	-0.04142711812
10	"SITTING"	"Y"	"mean"	-0.015042681852037	-0.041260775	-0.0679993598888889
11	"SITTING"	"Y"	"mean"	-0.0149195616754717	0.213716305739623	-0.0755284478679245
12	"SITTING"	"Y"	"mean"	-0.0157892988523529	0.0830509010823529	-0.0751980398235294
13	"SITTING"	"Y"	"mean"	-0.00587732936326531	0.101769752489796	-0.0902687401836735
